File,Data,Algo,Size,Fun,Leaf,Param,ETst,TstTime,FunEvalTime
iris_9_2020_11_23_20_53_57_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,174,60,113,233,0.966666667,0,0
iris_9_2020_11_23_20_53_57_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,174,60,113,233,0.966666667,0.001,3.33E-05
iris_9_2020_11_23_20_53_57_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,174,60,113,233,1,0,0
wdbc_0_2020_11_22_19_40_27_best_test_optPRM_adagrad_model.json,wdbc,_adagrad_,64,21,42,84,0.929824561,0,0
wdbc_0_2020_11_22_19_40_27_best_test_optPRM_adam_model.json,wdbc,_adam_,64,21,42,84,0.956140351,0,0
wdbc_0_2020_11_22_19_40_27_best_test_optPRM_gd_model.json,wdbc,_gd_,64,21,42,84,0.921052632,0.001,8.77E-06
wdbc_0_2020_11_22_19_40_27_best_test_optPRM_momentum_gd_model.json,wdbc,_momentum_gd_,64,21,42,84,0.964912281,0,0
wdbc_0_2020_11_22_19_40_27_best_test_optPRM_nesterov_accelerated_gd_model.json,wdbc,_nesterov_accelerated_gd_,64,21,42,84,0.964912281,0,0
wdbc_0_2020_11_22_19_40_27_best_test_optPRM_rmsprop_model.json,wdbc,_rmsprop_,64,21,42,84,0.973684211,0.001,8.77E-06
wdbc_10_2020_11_23_23_19_02_best_test_optPRM_adagrad_model.json,wdbc,_adagrad_,175,55,119,229,0.99122807,0.001,8.77E-06
wdbc_10_2020_11_23_23_19_02_best_test_optPRM_adam_model.json,wdbc,_adam_,175,55,119,229,1,0.001,8.77E-06
wdbc_10_2020_11_23_23_19_02_best_test_optPRM_gd_model.json,wdbc,_gd_,175,55,119,229,0.99122807,0.001,8.77E-06
wdbc_10_2020_11_23_23_19_02_best_test_optPRM_momentum_gd_model.json,wdbc,_momentum_gd_,175,55,119,229,0.99122807,0.001,8.77E-06
wdbc_10_2020_11_23_23_19_02_best_test_optPRM_nesterov_accelerated_gd_model.json,wdbc,_nesterov_accelerated_gd_,175,55,119,229,0.99122807,0,0
wdbc_10_2020_11_23_23_19_02_best_test_optPRM_rmsprop_model.json,wdbc,_rmsprop_,175,55,119,229,1,0.001,8.77E-06
wdbc_11_2020_11_24_03_17_59_best_test_optPRM_adagrad_model.json,wdbc,_adagrad_,206,70,135,275,0.98245614,0.002,1.75E-05
wdbc_11_2020_11_24_03_17_59_best_test_optPRM_adam_model.json,wdbc,_adam_,206,70,135,275,0.99122807,0,0
wdbc_11_2020_11_24_03_17_59_best_test_optPRM_gd_model.json,wdbc,_gd_,206,70,135,275,0.98245614,0.002,1.75E-05
wdbc_11_2020_11_24_03_17_59_best_test_optPRM_momentum_gd_model.json,wdbc,_momentum_gd_,206,70,135,275,0.98245614,0.001,8.77E-06
wdbc_11_2020_11_24_03_17_59_best_test_optPRM_nesterov_accelerated_gd_model.json,wdbc,_nesterov_accelerated_gd_,206,70,135,275,0.98245614,0.001,8.77E-06
wdbc_11_2020_11_24_03_17_59_best_test_optPRM_rmsprop_model.json,wdbc,_rmsprop_,206,70,135,275,1,0.001,8.77E-06
wdbc_12_2020_11_22_20_05_19_best_test_optPRM_adagrad_model.json,wdbc,_adagrad_,173,59,113,231,0.956140351,0.001,8.77E-06
wdbc_12_2020_11_22_20_05_19_best_test_optPRM_adam_model.json,wdbc,_adam_,173,59,113,231,0.98245614,0.002,1.75E-05
