Experiment,mean_r2_all,std_r2_all,mean_prm_all,std_prm_all,mean_r2_cls,std_r2_cls,mean_prm_cls,std_prm_cls,mean_r2_reg,std_r2_reg,mean_prm_reg,std_prm_reg
B-R-ES-p5-A,0.7056140841261908,0.22481106254130512,125.27619047619048,89.9719919546534,0.7953170938407406,0.15928963085955042,149.82962962962964,92.09773705616246,0.54414866664,0.23555769021407694,81.08,66.26978823125032
B-R-ES-p5-D,0.5825223656332524,0.2782700532924947,125.27619047619048,89.9719919546534,0.7072395705481478,0.18018657490158974,149.82962962962964,92.09773705616246,0.358031396786441,0.2832238873731026,81.08,66.26978823125032
B-R-ES-p5-G,0.6832271935571427,0.3164573011107571,125.27619047619048,89.9719919546534,0.801662548155555,0.17545937049039573,149.82962962962964,92.09773705616246,0.47004355528,0.3935303609700995,81.08,66.26978823125032
B-R-ES-p5-M,0.6755261685571422,0.24117366780387892,125.27619047619048,89.9719919546534,0.7823129583037028,0.15025441159474495,149.82962962962964,92.09773705616246,0.4833099470133333,0.25484555730621655,81.08,66.26978823125032
B-R-ES-p5-N,0.677018005307142,0.24360687873250902,125.27619047619048,89.9719919546534,0.7840819124703691,0.1561484452243625,149.82962962962964,92.09773705616246,0.48430297241333337,0.2543663212124166,81.08,66.26978823125032
B-R-ES-p5-R,0.6885448171380946,0.2492029462494772,125.27619047619048,89.9719919546534,0.8169754112740732,0.14260331556467828,149.82962962962964,92.09773705616246,0.4573697476933334,0.23287953767348268,81.08,66.26978823125032
B-S-ES-p4-A,0.8005246934000002,0.16903459861774173,222.4047619047619,150.15038754334978,0.8517525408962956,0.1271117699647872,261.2925925925926,156.68451342714224,0.7083145679066667,0.19458531450319955,152.40666666666667,106.78907873845343
B-S-ES-p4-D,0.7648094516214275,0.19754144610354923,222.4047619047619,150.15038754334978,0.8434736896888879,0.14002095994842212,261.2925925925926,156.68451342714224,0.6232138231,0.20722398232056793,152.40666666666667,106.78907873845343
B-S-ES-p4-G,0.7502253180166659,0.20782620847889308,222.4047619047619,150.15038754334978,0.8324027136111102,0.13641198061207355,261.2925925925926,156.68451342714224,0.6023060059466671,0.23151616751944895,152.40666666666667,106.78907873845343
B-S-ES-p4-M,0.8073339160119044,0.17450391745316174,222.4047619047619,150.15038754334978,0.8741419097851846,0.1126503139696135,261.2925925925926,156.68451342714224,0.6870795272199998,0.20019003817763142,152.40666666666667,106.78907873845343
B-S-ES-p4-N,0.807590111640476,0.17483688477301843,222.4047619047619,150.15038754334978,0.8749155658037029,0.11184231205543037,261.2925925925926,156.68451342714224,0.6864042941466665,0.2009439197152269,152.40666666666667,106.78907873845343
B-S-ES-p4-R,0.8323637553880945,0.15372091592717735,222.4047619047619,150.15038754334978,0.8906849342962952,0.10329441794778693,261.2925925925926,156.68451342714224,0.7273856333533333,0.17300023261589495,152.40666666666667,106.78907873845343
B-S-ES-p5-A,0.7777397321952378,0.1901673108287281,131.42857142857142,98.5351524585551,0.8406692268185177,0.1327019193989926,157.12962962962962,101.06971466720705,0.6644666418733335,0.22318113778800477,85.16666666666667,74.22597608470412
B-S-ES-p5-D,0.7470140859785717,0.21046398238390865,131.42857142857142,98.5351524585551,0.8401968069740734,0.14090411477847864,157.12962962962962,101.06971466720705,0.5792851881866669,0.21133264078324074,85.16666666666667,74.22597608470412
B-S-ES-p5-lr-A,0.17758460404047607,0.7025862877293351,137.92142857142858,99.6575329987444,0.5233507903222219,0.18065669862096032,161.71481481481482,103.39297828258943,-0.4447945312666666,0.8500595759132147,95.09333333333333,75.87169907388353
B-S-ES-p5-lr-D,0.7514401226928562,0.18644729220936482,137.92142857142858,99.6575329987444,0.7950074034777774,0.15616498644497243,161.71481481481482,103.39297828258943,0.6730190172799997,0.20999070693570362,95.09333333333333,75.87169907388353
B-S-ES-p5-lr-G,0.6024857677976185,0.2622577949210747,137.92142857142858,99.6575329987444,0.7183265568962959,0.17510990660978437,161.71481481481482,103.39297828258943,0.39397234742000015,0.2645137043205346,95.09333333333333,75.87169907388353
B-S-ES-p5-lr-M,0.7397926689904761,0.2156137634806203,137.92142857142858,99.6575329987444,0.8283339960296289,0.13894271839809344,161.71481481481482,103.39297828258943,0.5804182803200004,0.23685914613575956,95.09333333333333,75.87169907388353
B-S-ES-p5-lr-N,0.7403267779095235,0.2150705542086,137.92142857142858,99.6575329987444,0.8291941926962956,0.1370863740193054,161.71481481481482,103.39297828258943,0.5803654312933335,0.23680354591797753,95.09333333333333,75.87169907388353
B-S-ES-p5-lr-R,0.7757600126452379,0.17499128769428587,137.92142857142858,99.6575329987444,0.824664374777778,0.145198828528663,161.71481481481482,103.39297828258943,0.6877321608066665,0.18951144938627634,95.09333333333333,75.87169907388353
B-S-ES-p5-G,0.7371426125428564,0.21877411620950737,131.42857142857142,98.5351524585551,0.8301998621407397,0.1367627251739835,157.12962962962962,101.06971466720705,0.5696395632666669,0.23850965509401523,85.16666666666667,74.22597608470412
B-S-ES-p5-M,0.7893587620619039,0.19357801175961242,131.42857142857142,98.5351524585551,0.8708940682666657,0.11325925619235494,157.12962962962962,101.06971466720705,0.6425952108933334,0.22019549251984413,85.16666666666667,74.22597608470412
B-S-ES-p5-N,0.7901220936904757,0.19297132396992026,131.42857142857142,98.5351524585551,0.8713275720814808,0.11280151536464601,157.12962962962962,101.06971466720705,0.6439522325866665,0.21974016480116867,85.16666666666667,74.22597608470412
B-S-ES-p5-R,0.8122248105547616,0.1848766176413795,131.42857142857142,98.5351524585551,0.8881669443148137,0.107401066769905,157.12962962962962,101.06971466720705,0.6755289697866669,0.21454231487337433,85.16666666666667,74.22597608470412
B-S-A,0.7653566000071422,0.18579872106554932,127.58095238095238,99.2363472706239,0.8192258378666659,0.14489800539331965,153.84444444444443,100.44809395248117,0.6683919718600002,0.21082714016618218,80.30666666666667,77.31318220831899
B-S-D,0.7053636785357137,0.2120898028695352,127.58095238095238,99.2363472706239,0.787624128455555,0.14822362889942844,153.84444444444443,100.44809395248117,0.5572948686799998,0.22911869102544286,80.30666666666667,77.31318220831899
B-S-G,0.7198970626952378,0.20857722625743744,127.58095238095238,99.2363472706239,0.7966931462333326,0.14331956270721155,153.84444444444443,100.44809395248117,0.5816641123266667,0.23522600982161454,80.30666666666667,77.31318220831899
B-S-M,0.7592053321023806,0.18727937340836823,127.58095238095238,99.2363472706239,0.8201961822703688,0.13180446394756554,153.84444444444443,100.44809395248117,0.6494218018000002,0.21998186226860045,80.30666666666667,77.31318220831899
B-S-N,0.7600880071976189,0.1866455380657056,127.58095238095238,99.2363472706239,0.8207079702333329,0.13095429374823894,153.84444444444443,100.44809395248117,0.6509720737333335,0.21990381420152535,80.30666666666667,77.31318220831899
B-S-R,0.7651199278309522,0.1834887845179641,127.58095238095238,99.2363472706239,0.8314542034296294,0.12403957921909879,153.84444444444443,100.44809395248117,0.6457182317533333,0.21112649009273135,80.30666666666667,77.31318220831899
SVM-SVM,0.8023618518261918,0.1621949852556207,,,0.8410680504185192,0.12520161583484465,,,0.7326906943599996,0.19513222797897806,,
